工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018222430,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装压力桶；来电: 18005407836服务商代报维修加装压力桶；诊断: 刚放水时水质偏高，用户喝着口感不好，；方案: 免费帮用户加装压力桶一个
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",管线机加装减压阀（仅限配套净水机带压力桶）,净水机,安全维护,加装压力桶,nan,nan,nan,18005407836服务商代报维修加装压力桶,刚放水时水质偏高，用户喝着口感不好，,免费帮用户加装压力桶一个,非质量工单
WO0018222629,开鉴定单,产品鉴定,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,优先联系15949153888机器制冷不行，保内请联系,机器制冷一直工作，客户才买几个月不同意维修,开鉴定单,质量工单
WO0018222742,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 安全维护，加小压力桶；来电: 保外维修，冷水出水断断续续；诊断: 安全维护，加小压力桶；方案: 添加小压力桶
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",管线机加装减压阀（仅限配套净水机带压力桶）,饮水机,安全维护,安全维护，加小压力桶,nan,nan,nan,保外维修，冷水出水断断续续,安全维护，加小压力桶,添加小压力桶,非质量工单
WO0018223340,产品鉴定,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,经销商代报 出现E5,产品鉴定,机器出现E5,开鉴定单
WO0018224694,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 线上销售的产品质量鉴定；来电: 经销商代报维修   净水器进水端水压小，不出水， 报单预约师傅上门检测；诊断: 不出水；方案: 跟商家协议好退机
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 现场诊断/检测报告",产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,经销商代报维修   净水器进水端水压小，不出水， 报单预约师傅上门检测,不出水,跟商家协议好退机,非质量工单
WO0018224786,客户不同意拆机维修  要求换机,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,核实机器问题属于质量问题开鉴定单谢谢,机器异响  客户不同意拆机维修  要求换机,客户不同意拆机维修  要求换机,质量工单
WO0018225126,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 19991659759经销商代报维修，加装水盒子，师傅已上门；诊断: 通往管线机的水第1杯水TDs值偏高。；方案: 加装排水盒总成。
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,排水盒总成,nan,nan,19991659759经销商代报维修，加装水盒子，师傅已上门,通往管线机的水第1杯水TDs值偏高。,加装排水盒总成。,非质量工单
WO0018226035,客户联系商家说可以退换机,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,漏水，请先电话联系客户,新机子装机后试水就漏水了，客户要求退换机,客户联系商家说可以退换机,质量工单
WO0018226233,顾客要换货,产品鉴定,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,维修，请先电话联系客户,机子内部漏水,顾客要换货,质量工单
WO0018227200,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 故障类型：漏水故障；诊断: 排水管反水；方案: 加装排水盒总成
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,集成排水器,nan,nan,故障类型：漏水故障,排水管反水,加装排水盒总成,非质量工单
WO0018227298,开鉴定单,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,核实是机器问题 开鉴定单,开鉴定单,开鉴定单,质量工单
WO0018227366,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 只换不修政策产品质量鉴定；来电: 15704438862服务商代报维修，不出水；诊断: 机器不出水；方案: 机器正常
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",产品鉴定,净水机,产品鉴定,只换不修政策产品质量鉴定,nan,nan,nan,15704438862服务商代报维修，不出水,机器不出水,机器正常,非质量工单
WO0018227396,用户自己要换机,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,经销商代报维修  屏幕不灵 上报维修,没有热水,用户拒绝维修，用户自己要换机,质量工单
WO0018227457,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装压力桶；来电: 15502727350服务商代报维修，机器 反复启动；诊断: 反复启动；方案: 加装压力桶
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装压力桶,净水机,安全维护,加装压力桶,压力桶总成,nan,nan,15502727350服务商代报维修，机器 反复启动,反复启动,加装压力桶,非质量工单
WO0018227516,初步判断是系统问题，需要更换控制板,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,机器异响，,新机器上电出水后嗡嗡响然后就屏幕失灵，不能触摸,初步判断是系统问题，需要更换控制板,质量工单
WO0018227606,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 故障类型：出水故障；诊断: 家装集成排水器；方案: nan
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,集成排水器,nan,nan,故障类型：出水故障,家装集成排水器,nan,非质量工单
WO0018227974,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装压力桶；来电: 故障类型：出水故障；诊断: 管线机工作不正常；方案: 加装压力罐
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装压力桶,净水机,安全维护,加装压力桶,压力桶总成,nan,nan,故障类型：出水故障,管线机工作不正常,加装压力罐,非质量工单
WO0018228081,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 管线机加装减压阀（仅限配套净水机带压力桶）；来电: 经销商代报维修 管线机出水断断续续；诊断: 出水断续；方案: 用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",管线机加装减压阀（仅限配套净水机带压力桶）,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,nan,nan,nan,经销商代报维修 管线机出水断断续续,出水断续,用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感,非质量工单
WO0018228605,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 保养件保养包更换(PE管+接头)；来电: 请先电话联系客户；诊断: 水龙头出水口的地方漏水；方案: 更换快接头，问题已解决，试机正常
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户特殊要求单/邮件/沟通记录",保养件保养包更换(PE管+接头),净水机,安全维护,保养件保养包更换(PE管+接头),nan,nan,nan,请先电话联系客户,水龙头出水口的地方漏水,更换快接头，问题已解决，试机正常,非质量工单
WO0018228857,冲洗复位,改善口感，增加后置活性炭,nan,净水机,安全维护,改善口感，增加后置活性炭,nan,nan,nan,延长滤芯寿命,滤芯时间到，一直，红灯闪烁需要延长旅行寿命,冲洗复位
WO0018229061,用户要求更换新机,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,维修，请先电话联系客户,新安装漏水，机器内部故障导致,用户要求更换新机,质量工单
WO0018229170,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 19954487256服务商代报维修，机器加装水盒子，派给王茂龙师傅；诊断: 加装排水盒子；方案: 加装排水盒子
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,排水盒总成,nan,nan,19954487256服务商代报维修，机器加装水盒子，派给王茂龙师傅,加装排水盒子,加装排水盒子,非质量工单
WO0018229550,客户要求换机,产品鉴定,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,维修，请先电话联系客户,滤芯接口漏水,客户要求换机,质量工单
WO0018229570,管线机漏水，开鉴定单,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,核实机器问题属于质量问题开鉴定单谢谢,产品鉴定,管线机漏水，开鉴定单,质量工单
WO0018229777,要求更换新机,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,核实机器质量问题，属于质量问题开鉴定单,机器噪音大客户不接受维修,要求更换新机,质量工单
WO0018230032,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 13369272247服务商代报维修加装水盒子；诊断: 加装水盒子；方案: 加装水盒子
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,排水盒总成,nan,nan,13369272247服务商代报维修加装水盒子,加装水盒子,加装水盒子,非质量工单
WO0018230487,客户要求更换新机。,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单。,出水有异味。停水状态下设备加热后间断性漏水。,客户要求更换新机。,质量工单
WO0018230936,换机,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单。,出水异常,换机,质量工单
WO0018231146,新机器客户不同意拆机，不知道是哪方面坏了,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,机器一直放水，两个号码都可以联系,一直在排废水，电源拔了，废水也一直在排,新机器客户不同意拆机，不知道是哪方面坏了,质量工单
WO0018231560,检测机器电路板或者龙头故障，用户不愿意维修要求换机,产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,不出水,机器出水不正常，自动停机,检测机器电路板或者龙头故障，用户不愿意维修要求换机,质量工单
WO0018231642,管线机出水有异味,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,异味，无法解决麻烦核实机器质量问题开鉴定单谢谢,出水有异味,管线机出水有异味,质量工单
WO0018233243,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 18005407836服务商代报维修  加装水盒子；诊断: 刚放水水时水质高，造成管线机水箱结垢；方案: 加装排水盒子
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,nan,nan,nan,18005407836服务商代报维修  加装水盒子,刚放水水时水质高，造成管线机水箱结垢,加装排水盒子,非质量工单
WO0018233332,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 程序升级/程序烧录；来电: 经销商公众号代报维修，出水异味；诊断: 维修，拆解电磁阀，拆解水箱；方案: 维修，拆解电磁阀，拆解水箱
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 技术规格变更记录/配置变更单",程序升级/程序烧录,饮水机,安全维护,程序升级/程序烧录,nan,nan,nan,经销商公众号代报维修，出水异味,维修，拆解电磁阀，拆解水箱,维修，拆解电磁阀，拆解水箱,非质量工单
WO0018233816,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 保养件保养包更换(PE管+接头)；来电: 维修；诊断: 两年以换管；方案: 更换新的管
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",保养件保养包更换(PE管+接头),净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,nan,nan,维修,两年以换管,更换新的管,非质量工单
WO0018234889,上门检测确实有异味,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,经销商代报维修 有塑料味道,有异味,上门检测确实有异味,质量工单
WO0018235199,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 保养件保养包更换(PE管+接头)；来电: 维修；诊断: pe管老化；方案: 现场免费更换pe管
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 现场诊断/检测报告",保养件保养包更换(PE管+接头),净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,nan,nan,维修,pe管老化,现场免费更换pe管,非质量工单
WO0018235244,上门鉴定，应该是水箱内部浮球故障，客户拒绝维修，要求退货,产品鉴定,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,E7反馈多次频繁故障，请先电话联系客户,龙头多次显示E7，只能出常温水，热水用不了,上门鉴定，应该是水箱内部浮球故障，客户拒绝维修，要求退货,质量工单
WO0018235950,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 线上销售的产品质量鉴定；来电: 管子漏水；诊断: 楼道；方案: 机器没问题，用户自来水龙头滴水
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",非质量问题,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,管子漏水,楼道,机器没问题，用户自来水龙头滴水,非质量工单
