工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017774298,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-06-05 08:39:50,2025-06-14 09:08:35,2025-06-14 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"电源适配器 162*69.7*33.6mm,输入端:185-240V ~50Hz 3.0A,线长300mm,输出端:DC36V 5.0A 线长1200mm,CQC(黑色)",净水机,电气类,,上门维修,,,故障类型：出水故障,电源电源接触不良，不出水,修复
WO0017644288,非质量工单,Rule 3: 最终安全网,保内,2024-10-09 18:34:57,2025-06-03 16:19:47,2025-06-03 00:00:00,"气泡水机 气泡水机,AHQ3502-Z(天辰灰（TG01）)",商用事业部,PE管 1/4，CCK管(白色)300米/卷,饮水机,水路结构类,,上门维修,,,13682041422服务商代报维修  不进气，物流码645749206917115024,机器没有气，缺气,固定修复好
WO0017828571,质量工单,Rule A.3: 核心部件更换,保内,2024-09-30 10:39:36,2024-11-08 16:57:23,2024-11-08 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB8C,CCC，109*51*31mm,输入端：220V 线长300mm,输出端：DC24V 2.0A,线长1200mm, 含DC插头(黑色)",17858338399服务商代报维修，不通电，保内,不通电,已上门维修
WO0017881440,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-10 18:17:53,2024-12-29 14:06:44,2024-12-29 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,快插弯头 L型、PLC0606(3/8*3/8）一头接接头，另一头接PE管(白色),净水机,水路结构类,,上门维修,,,故障类型：漏水故障,漏水,换个锁扣
WO0017744935,质量工单,Rule A.3: 核心部件更换,保内,2024-07-29 21:08:28,,2025-06-05 00:00:00,"净饮机 台式净饮机,JY3579-ROT12HD(月光石灰)",电商事业部,"指示灯板 JY3579-ROT12HD,输入电压5V,含防护罩,指示灯板盒等,对应摩纳物料名称为显示板(/)",净饮机,电气类,,上门维修,"指示灯板 JY3579-ROT12HD,输入电压5V,含防护罩,指示灯板盒等,对应摩纳物料名称为显示板(/)","指示灯板 JY3579-ROT12HD,输入电压5V,含防护罩,指示灯板盒等,对应摩纳物料名称为显示板(/)",15571176273服务商代报不出水,不出水,更换指示灯板
WO0017578790,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-28 15:07:42,2025-05-04 12:14:19,2025-05-04 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,快插直接 PI0404(1/4*1/4)(白色),净水机,水路结构类,,上门维修,,,故障类型：漏水故障,水龙头漏水，已处理,漏水已处理
WO0017666967,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-11-30 09:03:44,2025-03-18 11:20:47,2025-03-18 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"泵 SMB-A-RS-08800,DC24V,不带支架,线长400mm(/)",饮水机,电气类,,上门维修,,,经销商代报维修 净水器和管线机的噪音大,抽水泵的声音,正常给用户解释是抽水泵的声音
WO0017841489,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-09 19:58:22,2025-06-21 14:45:45,2025-06-21 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC180,网销专供(鹅黄色)",电商事业部,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",净水机,水路结构类,,上门维修,,,故障类型：出水故障,不出水,停水保护
WO0017771926,非质量工单,Rule 3: 最终安全网,保内,2025-04-24 16:22:02,2025-06-24 09:45:53,2025-06-24 00:00:00,"净水设备 反渗透厨下式净水机,J3674-ROC120 b，天池SE，446*146*388mm(安吉尔白+天空蓝)",电商事业部,鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),净水机,水路结构类,,上门维修,鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),经销商代报 水龙头纯水开不了，，-------用户接受更换龙头 加急跟进,纯水笼头动不了,换笼头
WO0017773492,非质量工单,Rule 3: 最终安全网,保内,2024-08-29 16:27:26,2025-05-27 15:22:05,2025-05-27 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)",饮水机,电气类,,上门维修,,,经销商代报维修，不出热水,不出热水,重新把按钮按一下就好了
