编号(维修行),维修问题点,二级问题点
RL0012134013,排水管漏水,排水管漏水
RL0012127571,电磁阀,出水电磁阀滴水
RL0011181339,滤芯堵塞,RO滤芯堵塞
RL0010824449,电磁阀,废水电磁阀堵塞
RL0011107004,滤芯堵塞,RO滤芯堵塞
RL0011106975,滤芯堵塞,RO滤芯堵塞
RL0011011792,非质量问题,检测正常
RL0011240767,非质量问题,金属阀未打开
RL0011070853,电控板,闪屏
RL0011056001,非质量问题,金属三通堵塞
RL0011019864,低压开关,不出冷水
RL0011016271,电磁阀,热水电磁阀滴水
RL0011012768,电控板,不通电
RL0011011474,非质量问题,电源插座问题
RL0011008731,非质量问题,进水管弯折
RL0011001244,非质量问题,排水管漏水
RL0010940548,滤芯堵塞,RO滤芯堵塞
RL0010911479,非质量问题,排水管堵塞
RL0010902930,电磁阀,废水电磁阀堵塞
RL0010887760,非质量问题,用户电源问题
RL0010886424,漏水,排水管漏水
RL0010824461,滤芯堵塞,RO滤芯堵塞
RL0010781611,电磁阀,废水电磁阀堵塞
RL0010772438,滤芯堵塞,PP滤芯堵塞
RL0010766543,非质量问题,水管弯折
RL0010655359,非质量问题,金属三通堵塞
RL0010599075,非质量问题,排水管漏水
RL0010380919,电磁阀,出水电磁阀滴水
RL0010355492,电磁阀,出水电磁阀滴水
RL0010324957,非质量问题,定期来关机设置
RL0010323721,非质量问题,定期来关机设置
RL0010276445,电磁阀,热水电磁阀滴水
RL0010265054,非质量问题,用水量大
RL0010189293,滤芯堵塞,RO滤芯堵塞
RL0010183761,滤芯,异味更换后置炭滤芯
RL0010043626,电控板,不出水
RL0010021836,非质量问题,检测正常
RL0010015242,滤芯堵塞,RO滤芯堵塞
RL0009960746,非质量问题,解锁
RL0009957309,非质量问题,管接件漏水
RL0009927574,压力桶,压力桶泄压
RL0009897283,非质量问题,激活
RL0009854446,非质量问题,管接件漏水
RL0009912930,非质量问题,节能模式
RL0009912628,非质量问题,用户电源问题
RL0010824326,电磁阀,废水电磁阀堵塞
RL0011501418,不出水,管路问题
RL0011903018,非质量问题,排空水箱
RL0012190781,电磁阀,废水电磁阀堵塞
RL0012475632,电磁阀,废水电磁阀堵塞
