工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018222430,,,净水机,安全维护,加装压力桶,,,,免费帮用户加装压力桶一个,,非质量工单,
WO0018222629,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,开鉴定单,,质量工单,
WO0018222742,,,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,添加小压力桶,,非质量工单,
WO0018223340,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,机器出现E5,,质量工单,
WO0018224694,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,跟商家协议好退机,,质量工单,
WO0018224786,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,客户不同意拆机维修  要求换机,,质量工单,
WO0018225126,,,净水机,安全维护,加装排水盒总成,排水盒总成,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",,非质量工单,,
WO0018226035,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,客户联系商家说可以退换机,,质量工单,
WO0018226233,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,顾客要换货,,质量工单,
WO0018227200,,,净水机,安全维护,加装排水盒总成,集成排水器,,"集成排水器 JCPSQ,159.9*86.5*177.7(/)",,非质量工单,,
WO0018227298,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,开鉴定单,,质量工单,
WO0018227366,,,净水机,产品鉴定,只换不修政策产品质量鉴定,,,,机器正常,,非质量工单,
WO0018227396,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,用户拒绝维修，用户自己要换机,,质量工单,
WO0018227457,,,净水机,安全维护,加装压力桶,压力桶总成,,"压力桶总成 J3303-ROB60,0.5G螺纹式,塑胶压力桶，带盒售后用(原色)",,非质量工单,,
WO0018227516,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,初步判断是系统问题，需要更换控制板,,质量工单,
WO0018227606,,,净水机,安全维护,加装排水盒总成,集成排水器,,"集成排水器 JCPSQ,159.9*86.5*177.7(/)",,非质量工单,,
WO0018227974,,,净水机,安全维护,加装压力桶,压力桶总成,,"压力桶总成 J3303-ROB60,0.5G螺纹式,塑胶压力桶，带盒售后用(原色)",,非质量工单,,
WO0018228081,,,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感,,非质量工单,
WO0018228605,,,净水机,安全维护,保养件保养包更换(PE管+接头),,,,,非质量工单,,
WO0018228857,,,净水机,安全维护,改善口感，增加后置活性炭,,,,,非质量工单,,
WO0018229061,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018229170,,,净水机,安全维护,加装排水盒总成,排水盒总成,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",,非质量工单,,
