工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018258931,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：漏水故障,排水管反水反臭,加装排水盒总成,nan
WO0018259679,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,pe管老化,免费更换pe管,nan
WO0018259686,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,pe管老化,免费更换pe管,nan
WO0018262347,出水断续，加装压力桶,nan,净水机,安全维护,加装压力桶,压力桶总成,15893099261服务商代报维修，出水断断续续,压力太小，机器一会工作一会不工作,加装压力罐,nan
WO0018262543,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,排水地漏反水反臭,加装排水盒总成，排水正常,nan
WO0018264441,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,15234361114 服务商代报 加水盒子,加水盒子,加水盒子,nan
WO0018266084,出水断续，加装压力桶,nan,净水机,安全维护,加装压力桶,压力桶总成,19005837923售后代报维修加压力桶,出水断断续续,已加装压力桶,nan
WO0018268501,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,管老化，,更换新的管,nan
WO0018269724,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,排水地漏反水反臭,加装排水盒总成,nan
WO0018270499,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,排水地漏反水反臭,加装排水盒总成,nan
WO0018274450,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,保内维修，水垢，师傅在现场,有水垢,加装排水盒,nan
WO0018276381,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,15212525112服务商代报维修：加装水盒子,机器有碱,添加排水盒总成,nan
WO0018276641,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,出水有异味  保内维修,加装水盒子,加装I水金子,nan
WO0018276942,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修，北京天津区域-何文杰,管路老化,更换保养包,nan
WO0018277949,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,加装排水器,加装排水器,nan
WO0018278150,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,安全维护,加装排水盒总成,nan
WO0018278824,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修，,管路老化,更换保养包,nan
WO0018279486,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,安全维护,加装排水盒总成,nan
WO0018281114,nan,nan,净水机,安全维护,加装压力桶,压力桶,加装压力桶，师傅已上门,管线机那边出水一时大一时很小,净水器端加装压力桶,nan
WO0018281832,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,维修,频繁启动，加装小压力桶,频繁启动，加装小压力桶,nan
WO0018283891,安装使用超9个月后异味，加装活性炭,nan,净水机,安全维护,改善口感，增加后置活性炭,活性炭滤芯成品,维修， 出水故障，师傅已上门,出水异味,加装后置碳,nan
WO0018283891,安装使用超9个月后异味，加装活性炭,nan,净水机,安全维护,加装压力桶,压力桶,维修， 出水故障，师傅已上门,管线机出水断断续续的，净水器加装压力桶,净水器加装压力桶,nan
WO0018284763,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,18255782720服务商代报维修，加排水盒,出水有碱,安装排水盒,nan
WO0018284883,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,安全维护,加装排水盒总成,nan
WO0018284989,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,17705571579服务商代报维修，加装水盒子,第一杯水有碱,加水盒子,nan
WO0018285856,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,13191157769服务商代报维修  水龙头坏了  加装水盒子,大通量净水机导致管线机有水垢,加装水盒子处理,nan
WO0018287202,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,nan,安全维护。,加装排水盒总成,nan
WO0018287255,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,13305495562服务商代报  维修，加装排水盒子，派王茂龙,加装排水盒子,加装排水盒子,nan
WO0018288121,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,有水垢，师傅已上门,第一杯水出水有水垢,加装水盒子,nan
WO0018288471,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,安全维护,加装排水盒总成,nan
