维修工单号,问题描述,故障件,解决方案,是否质量工单
RL0011191618,滤芯堵塞,复合滤芯,告诉客户原因，让客户申请滤芯,质量工单
RL0011190529,膜壳破裂,滤桶,更换膜壳,质量工单
RL0011176977,TDS偏高,PE管,调试废水开关，已解决,质量工单
RL0011175443,更换RO膜壳,滤桶,更换ro滤桶,质量工单
RL0011140773,漏水,杀菌器,重新处理后净水器无漏水,质量工单
RL0011086452,水压低出水小,PE管,现场检测机器制水各方面都正常,非质量工单
RL0011006310,报警,高压开关,跟换高压开关,质量工单
RL0010157932,漏水,密封圈,角阀漏水，缠松胶带加固,非质量工单
RL0009707878,主机漏水,增压泵,更换水泵,质量工单
RL0011113362,漏水,滤桶,更换换RO膜壳一套,质量工单
RL0010929842,漏水,增压泵,换增压泵,质量工单
RL0010790732,漏水,增压泵,等工厂发配件更新,质量工单
RL0010772257,水量小,反渗透膜元件,更换RO膜，门店的RO,质量工单
RL0010485590,漏水严重,滤桶盖,上门更换反渗透滤瓶盖，机器正常，总部免费发滤瓶更换,质量工单
RL0010283290,TDS偏高,反渗透膜元件,师傅上门检查水质高，调试后到137就降不下去咯,质量工单
RL0010048060,TDS偏高,线束,调试   TDS需要调整70-100区间,质量工单
RL0010964770,水发黄,PE管,机子正常。,非质量工单
RL0010962539,出水小,塑料阀门,已调试，正常,非质量工单
RL0010948299,补单,快插塑料阀门,客户出水点位太多，制水跟不上用水，连接的是自来水样式的大龙头,非质量工单
RL0010936533,水池杀菌器明显漏水,快插直接,金属波纹水管漏，非我司机器设备漏水，处理了一下，用户会找外包安装施工队处理。,非质量工单
RL0010892920,设备：TDS偏高,电磁阀,师傅更换电磁阀后机器出水正常,质量工单
RL0010875324,漏水,增压泵,机器漏水，上门维修，泵坏，更换泵,质量工单
RL0010794242,出水小,快插三通,重装,非质量工单
RL0010768506,净水机漏水,增压泵,更换水泵一个,质量工单
RL0010717012,有时出水量小,塑料阀门,建议更换滤芯,质量工单
RL0010693489,管路连接的不对,PE管,查管加装旁通阀等,非质量工单
RL0010680057,不出水,高压开关,上门换高压开关,质量工单
RL0010680056,水质不稳定,PE管,调水质,质量工单
RL0010675011,不出水,复合滤芯,门店自己更换前3级滤芯,质量工单
RL0010658718,不出水,电磁阀,修复,质量工单
RL0010627478,出水红色,快插塑料阀门,清洗储水罐,非质量工单
RL0010622443,增压泵故障,增压泵,换泵,质量工单
RL0010621538,增压泵故障,增压泵,更换泵一个,质量工单
RL0010569993,漏水,增压泵,重新上紧螺丝，暂时不漏水,质量工单
RL0010566851,客户反应净化后口感不好,快插塑料阀门,关闭旁通,非质量工单
RL0010559328,不出水,电源适配器,将电源线插紧,非质量工单
RL0010509565,安装一支紫外线灯,杀菌器,新装紫外灯,质量工单
RL0010508627,月度维护发现出水量不符合标准,PE管,整改弯折管路,非质量工单
RL0010501661,一直跳停，关机等待半小时还是一样,指示灯板总成,压力泵坏换压力泵,质量工单
RL0010436301,不出水,电磁阀,清洗进水电磁阀后故障排除,质量工单
RL0010430240,增压泵漏水,增压泵,更换,质量工单
RL0010405413,漏水很大,快插弯头,更换接口后恢复正常,质量工单
RL0010396051,直饮水发热温度达到30度左右设备老是断电,电源适配器,重新给店里补发,质量工单
RL0010393863,杀菌器一直红灯报警无法正常工作,杀菌器,更换新的,质量工单
RL0010392313,漏水,金属阀,加固,非质量工单
RL0010376763,更换RO机架子,密封圈,安装时架子不对放不进压力桶,非质量工单
RL0010373234,消毒器不工做（紫外线灯不亮）,杀菌器,更换紫外线杀菌灯灯管,质量工单
RL0010360506,1，制水机出来的水跟自来水一样，2储水罐漏水,塑料阀门,重新拆了给顾客又按了一遍管事了。,非质量工单
RL0010313758,客户留言:安吉尔商用净水器故障不出水，水压小供应不急不急,电磁阀,跟换进水电磁阀,质量工单
RL0010292832,漏水,快插三通,三通漏水，重新更换一个三通,质量工单
RL0010258346,更换滤芯过程中漏水不止,密封圈,净水器滤筒拆装重新检查安装，测试无漏水现象。,质量工单
RL0010222342,漏水,增压泵,机器换泵好了,质量工单
RL0010219259,调混水值TDS到90,快插塑料阀门,调试到正常标准,质量工单
RL0010197639,不㓡水,塑料阀门,机器转个位置，柜门挡住了,非质量工单
RL0010179603,漏水,滤桶盖,膜壳脱落，更换膜壳，管路整改,质量工单
RL0010179253,漏水,滤桶盖,更换滤桶上盖,质量工单
RL0010164576,机器不出水了,复合滤芯,建议更换复合滤芯,质量工单
