工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018222430,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装压力桶；来电: 18005407836服务商代报维修加装压力桶；诊断: 刚放水时水质偏高，用户喝着口感不好，；方案: 免费帮用户加装压力桶一个
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",,净水机,安全维护,加装压力桶,,,,18005407836服务商代报维修加装压力桶,刚放水时水质偏高，用户喝着口感不好，,免费帮用户加装压力桶一个,非质量工单
WO0018222629,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,优先联系15949153888机器制冷不行，保内请联系,机器制冷一直工作，客户才买几个月不同意维修,开鉴定单,质量工单
WO0018222742,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 管线机加装减压阀（仅限配套净水机带压力桶）；来电: 保外维修，冷水出水断断续续；诊断: 安全维护，加小压力桶；方案: 添加小压力桶
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,保外维修，冷水出水断断续续,安全维护，加小压力桶,添加小压力桶,非质量工单
WO0018223340,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,经销商代报 出现E5,产品鉴定,机器出现E5,质量工单
WO0018224694,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,经销商代报维修   净水器进水端水压小，不出水， 报单预约师傅上门检测,不出水,跟商家协议好退机,质量工单
WO0018224786,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,核实机器问题属于质量问题开鉴定单谢谢,机器异响  客户不同意拆机维修  要求换机,客户不同意拆机维修  要求换机,质量工单
WO0018226035,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,漏水，请先电话联系客户,新机子装机后试水就漏水了，客户要求退换机,客户联系商家说可以退换机,质量工单
WO0018226233,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,维修，请先电话联系客户,机子内部漏水,顾客要换货,质量工单
WO0018227298,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,核实是机器问题 开鉴定单,开鉴定单,开鉴定单,质量工单
WO0018227366,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 只换不修政策产品质量鉴定；来电: 15704438862服务商代报维修，不出水；诊断: 机器不出水；方案: 机器正常
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",,净水机,产品鉴定,只换不修政策产品质量鉴定,,,,15704438862服务商代报维修，不出水,机器不出水,机器正常,非质量工单
WO0018227396,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,经销商代报维修  屏幕不灵 上报维修,没有热水,用户拒绝维修，用户自己要换机,质量工单
WO0018227516,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,机器异响，,新机器上电出水后嗡嗡响然后就屏幕失灵，不能触摸,初步判断是系统问题，需要更换控制板,质量工单
WO0018228081,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 管线机加装减压阀（仅限配套净水机带压力桶）；来电: 经销商代报维修 管线机出水断断续续；诊断: 出水断续；方案: 用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,经销商代报维修 管线机出水断断续续,出水断续,用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感,非质量工单
