工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017142787,非质量工单,Rule 3: 最终安全网,保内,2024-11-23 16:41:06,2024-12-04 14:12:14,2024-12-04 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"前面板总成 Y3611BK-G,102*167*11.5MM,含控制板显示罩,PC装饰板,,包装袋等,售后专用(深空银)",饮水机,水路结构类,,上门维修,,,经销商代报管线机被被小孩不注意丢东思砸到了，显示屏碎掉需要师傅上门更换,面板破碎,更换面板总成
WO0017667646,非质量工单,Rule B.1: 外部加装,保内,2024-12-23 19:51:13,2025-01-19 17:28:50,2025-01-19 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,上门维修,,,故障E6,E6,净水器长时间断电，管线机断电后上电正常
WO0017578849,非质量工单,Rule 3: 最终安全网,保内,2024-11-05 16:49:08,,2025-03-31 00:00:00,"净饮机 台式净饮机,JY3579-ROT12HD(月光石灰)",电商事业部,,净饮机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,T3pro先显示e6重启过后不制冷,上门检查，冷水不冷。制冷一直在闪,客户是2025年3月31号到的货。才用了两个月，多一点点机器，现在制冷效果没有。客户不愿意拆机维修。想要换机器。
WO0017867349,非质量工单,Rule 3: 最终安全网,保内,2025-03-04 08:36:10,2025-06-23 14:39:38,2025-06-23 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,维修，机器触摸不灵，师傅已上门,触摸不灵。,换机器。
WO0017643228,质量工单,Rule A.3: 核心部件更换,保内,2024-08-14 13:13:12,2024-08-17 16:52:38,2024-08-17 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"TDS传感器 J3540-ROC120H,φ12*61mm，线长360mm(白色)",净饮机,电气类,,上门维修,"TDS传感器 J3540-ROC120H,φ12*61mm，线长360mm(白色)","TDS传感器 J3540-ROC120H,φ12*61mm，线长360mm(白色)",18052763500服务商代报维修加热不显示,常温水温度显示不准确,
WO0017808833,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-28 14:09:30,2025-05-25 13:27:10,2025-05-25 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,波纹管-SP J2631-PS2000，1/2″*500mm(原色)6的倍数起订,净水机,水路结构类,,上门维修,,,15308218347服务商代报 漏水,漏水,已处理
WO0017836011,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-26 16:10:54,2025-06-20 14:06:02,2025-06-20 00:00:00,"净水设备 反渗透厨下式净水机,J3681-ROC126；449.5*146*388mm(瓦峰灰系列)",电商事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,"经销商代报维修 师傅刚安装好，水管就漏水
 加急",排污管管,改在防溢管排污
WO0017600590,质量工单,Rule A.6: 主观性能缺陷（噪音/分贝+换退）,保内,2024-12-06 14:49:39,2025-05-28 14:07:04,2025-05-28 00:00:00,"净水设备 反渗透厨下式净水机,J3647-ROB120,带WIFI版(冰川银+安吉尔白)",消费者事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,噪音很大    保内,机器工作噪音大，用户不接受,用户要求退换机
WO0017708440,非质量工单,Rule 3: 最终安全网,保内,2024-08-31 18:48:11,2024-10-14 11:41:19,2024-10-14 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,"电磁阀 FPD-180N28-DC24V,(浓水流量0.42MPa-800ml/min),常闭,线长150mm,配送锁端子:SM-2A黑色(/)",净水机,电气类,,上门维修,,,频繁冲洗启动  师傅已上门,冲洗已关闭,已关闭自动冲洗
WO0017813948,质量工单,Rule A.3: 核心部件更换,保内,2024-08-30 11:06:35,2024-10-09 12:08:38,2024-10-09 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",净饮机,电气类,,上门维修,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)","高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",机器漏水，橱柜都泡了，要求今天早上上门维修，要一个专业一点的师傅上门来维修，不要之前安装的师傅上门。,机器内部高压开关破裂漏水,
WO0017728926,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-03 16:22:55,2025-03-07 13:18:16,2025-03-07 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"控制板总成 J3540-ROC120H-H,168.7*75.6*15.5mm,含加热板、挡水板、灌胶。(/)",净饮机,电气类,,上门维修,,,15552605109服务商代报维修  显示E3,版本升级,版本升级
WO0017913504,质量工单,Rule A.3: 核心部件更换,保内,2025-03-13 16:40:54,2025-05-28 11:23:06,2025-05-28 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",来电号码:18679973554;故障信息:机器故障具体故障问题请师傅先联系确认,电源坏了,更换4A电源，机子正常了
WO0017577094,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-14 15:43:21,2025-04-03 17:52:40,2025-04-03 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"增压泵 QS0565F-300,DC24V,工作电流≤2.4A,工作流量≥2700ml/min(进水压力为30psi,出水压力为70psi),线长315mm，三分立式顶出(/)",净水机,电气类,,上门维修,,,机器异响，保内，优先联系15309723600,机器工作时噪音大。,加装减震垫。
WO0017791130,非质量工单,Rule 3: 最终安全网,保内,2025-01-12 14:25:49,2025-06-06 13:52:25,2025-06-06 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,快插弯头 PLC0404(1/4*1/4)(白色),净水机,水路结构类,,上门维修,,,18988523378服务商代报维修：出水小   茶吧机型号不清楚,断断续续安装压力桶,安装压力桶
WO0017646084,非质量工单,Rule B.3: 用户/环境责任,保内,2024-10-23 14:06:35,2024-11-16 15:58:21,2024-11-16 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 L型、PLC0606(3/8*3/8）一头接接头，另一头接PE管(白色),饮水机,水路结构类,,上门维修,,,客户说机器坏了，请先电话联系客户,管子漏水,客户下面三分转二分的直接弯头漏水更换一个
WO0017851827,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-10 15:11:21,2025-06-03 18:57:18,2025-06-01 00:00:00,"净水设备 反渗透厨下式净水机,J3745-ROC90,352*125*328mm(透明黑+冰川灰)",消费者事业部,"进水电磁阀 FPD-180Q55-DC 24V 科博,进水电磁阀,DC24V,额定电流：210±50mA,3分快接式,使用水压：0.02MPa～1.2MPa；(/)",净水机,电气类,,上门维修,,,"客户留言:师傅已上门，尽快派单
故障类型：漏水故障",进水阀关闭不严,手动清理修复
WO0017893138,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-08-30 14:34:00,2025-05-14 11:08:24,2025-05-14 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,PE管 等径直管，1/4″(蓝色),净水机,水路结构类,,上门维修,,,18194031658经销商代报维修龙头装错位置,龙头装错位置  窗户开不了,重新安装龙头
WO0017562243,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-12-31 10:51:49,2025-04-14 11:47:32,2025-04-14 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)",饮水机,电气类,,上门维修,,,来电号码:15509129456;故障信息:不出水,不出热水,温控器复位
WO0017667733,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2025-04-05 10:44:07,2025-06-09 15:37:01,2025-06-09 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"快插直接 JY3491TK-ROK,3/8*3/8,一头接PE管一头直插，,对应摩纳物料名称为一字快接(白色)",净水机,水路结构类,,上门维修,,,出水有异味，保内,调试维修,以调试好
WO0017771306,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-01-03 14:58:06,2025-05-19 11:36:04,2025-05-19 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,漏水,漏水,2分PE管起披锋导致漏水，切割重新安装。
WO0017666339,非质量工单,Rule B.1: 外部加装,保内,2025-03-24 13:32:42,2025-06-10 16:01:32,2025-06-10 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,,净水机,安全维护,加装排水盒总成,上门维修,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",13109109099服务商代报维修，加装水盒,解决通往管线机的水TDs值偏高。,加装排水和总成。
WO0017586270,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-07-19 16:50:50,,2025-04-28 00:00:00,"净饮机 台式净饮机,JY3579-ROT12HD(月光石灰)",电商事业部,"厚膜发热管总成 JY3491TK-ROK,JY3491TK,2180W/220V含速加热电热管,手动复位温控器,自动复位温控器,温度感应器等物料,对应摩纳物料名称为加热模块(/)",净饮机,电气类,,上门维修,,,机器不加热，保内，加急,客户反馈机器不加热，大概判断加热体温控起跳,温控复位，机器工作正常
WO0017912704,非质量工单,Rule 3: 最终安全网,保内,2025-05-22 13:31:28,2025-06-26 13:14:44,2025-06-26 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,经销商代报 安排售后师傅上门穿管,2分管老化,更换2分管8米
WO0017858368,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-03-03 16:16:32,2025-06-22 22:24:40,2025-06-22 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"电源插座 J1205-ROB40C, 含DC母座，线束450mm(/)",净水机,电气类,,上门维修,,,不出水，保内,机器超时保护,重启
WO0017889592,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-15 11:40:53,2025-04-21 12:40:56,2025-04-21 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"电磁阀 进水电磁阀,FPD-90Q10-DC36V,(适用水压0.02-0.8MPa),常闭,线长150mm,配送锁端子:SM-2A黑色(/)",净水机,电气类,,上门维修,,,经销商代报维修,不出水,已处理
WO0017684190,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-08-31 18:48:11,2025-06-04 10:41:48,2025-06-04 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,PE管 等径直管，1/4″(蓝色),净水机,水路结构类,,上门维修,,,18983282058服务商代报维修 龙头漏水,机器漏水  接头问题,上门更换接头
