编号(维修行),维修问题点,二级问题点
RL0011191618,滤芯堵塞,复合滤芯堵塞
RL0011190529,RO滤芯,RO滤芯膜壳开裂
RL0011176977,TDS值调整,调整TDS值在70-100
RL0011175443,RO滤芯,RO滤芯膜壳开裂
RL0011140773,非产品质量问题,客户工程三通角阀漏水
RL0011086452,非产品质量问题,检测正常
RL0011006310,高压开关,制水不停机
RL0010157932,漏水,金属三通
RL0009707878,增压泵,增压泵漏水
RL0011113362,RO滤芯,RO滤芯膜壳开裂
RL0010929842,增压泵,增压泵漏水
RL0010790732,增压泵,增压泵漏水
RL0010772257,滤芯堵塞,RO滤芯堵塞
RL0010485590,RO滤芯,RO滤芯膜壳开裂
RL0010283290,滤芯堵塞,RO滤芯堵塞
RL0010048060,TDS值调整,调整TDS值在70-100
RL0010964770,非产品质量问题,自来水有泥沙
RL0010962539,TDS值调整,调整TDS值在70-100
RL0010948299,非产品质量问题,用水量大
RL0010936533,非产品质量问题,非安吉尔产品漏水
RL0010892920,TDS值调整,调整TDS值在70-100
RL0010875324,增压泵,增压泵漏水
RL0010794242,非产品质量问题,检测正常
RL0010768506,增压泵,增压泵漏水
RL0010717012,滤芯堵塞,RO滤芯堵塞
RL0010693489,非产品质量问题,水路连接错误
RL0010680057,高压开关,不出水
RL0010680056,TDS值调整,调整TDS值在70-100
RL0010675011,滤芯堵塞,复合滤芯堵塞
RL0010658718,电磁阀,不出水
