维修工单号,问题描述,故障件,解决方案,是否质量工单
RL0012134013,机器显示E09故障码,密封垫 3301系列,水槽清理干净，水槽排水管重新固定,非质量工单
RL0012127571,水龙头漏水,放水电磁阀FPD-360J2-DC24V,更换放水电磁阀,质量工单
RL0011181339,显示E8不出水,反渗透膜滤芯成品-SP TW30-3013-400,更换ro膜,质量工单
RL0010824449,显示E8废水不出,电磁阀 AHR27-4030K2,更换废水电磁阀,质量工单
RL0011107004,纯水不出,反渗透膜滤芯成品-SP TW30-3013-400,更换RO膜一支,质量工单
RL0011106975,纯水不出,反渗透膜滤芯成品-SP TW30-3013-400,更换ro膜一支,质量工单
RL0011011792,机器有糊味,PE管,检查机器正常,非质量工单
RL0011240767,不出水,金属阀 J2605-ROB60,打开开关重新启动,非质量工单
RL0011070853,不通电,控制板总成 AHR27-4030K2,更换控制板,质量工单
RL0011056001,机器不出水,快插三通 PT060406,进水三通坏了进行维修,非质量工单
RL0011019864,不出冷水,低压开关 PD04,修复低压开关,质量工单
RL0011016271,热水出水电磁阀滴水,电磁阀 DCR-24-B30-A01,更换热水电磁阀,质量工单
RL0011012768,机器不通电,控制板总成 AHR27-4030K2,更换主板,质量工单
RL0011011474,机器一加热就跳闸,低压开关 1828-A,更换了插座,非质量工单
RL0011008731,机器不出水,PE管 3/8白色,把进水管弄短一点清理障碍物,非质量工单
RL0011001244,排水管漏水,PE管 3/8白色,更换新的一根排水管,非质量工单
RL0010940548,显示E8不出水,反渗透膜滤芯成品-SP TW30-3013-400,等待配件,质量工单
RL0010911479,机器漏水,快插弯头 PL0606,下水道疏通,非质量工单
RL0010902930,显示E8废水出水小,电磁阀 AHR27-4030K2,建议更换电磁阀,质量工单
RL0010887760,空开没电,接触器-HB CJX2-18,公司电工来送电,非质量工单
RL0010886424,漏水,等径直管 AHR27-4030K2,重新安装,非质量工单
RL0010824461,显示E8,反渗透膜滤芯成品-SP TW30-3013-400,更换ro膜,质量工单
RL0010781611,出水有水碱水垢,电磁阀 AHR27-4030K2,更换废水电磁阀,质量工单
RL0010772438,出水慢,PP滤芯成品-SP J2313,更换pp棉和活性炭,质量工单
RL0010766543,不出水,PE管 3/8白色,维修完成,非质量工单
RL0010655359,不出水,快插三通 T型,检修,质量工单
RL0010599075,设备漏水,快插弯头 PL0404,排水管漏水更换,非质量工单
RL0010380919,出水电磁阀损坏,电磁阀 DCR-24-B30-A01,更换出水电磁阀,质量工单
RL0010355492,水龙头滴水,电磁阀 DCR-24-B30-A01,更换放水电子阀,质量工单
RL0010324957,设置机器参数定时开关机,控制板总成 AHR27-4030K2,以上门调整机器参数,非质量工单
RL0010323721,饮水机关不上,控制板总成 AHR27-4030K2,以上门调试设置,非质量工单
RL0010276445,热水嘴滴水,电磁阀 DCR-24-B30-A01,更换热水出水电磁阀,质量工单
RL0010265054,常温水出水异常,逆止阀 PVLW0404,已跟客户解释用水方法,非质量工单
RL0010189293,饮水机不出水,反渗透膜滤芯成品-SP TW30-3013-400,更换ro膜,质量工单
RL0010183761,水质有异味,活性炭滤芯总成,更换滤芯,质量工单
RL0010043626,不出水,微电脑显示板 AHR27升级版,已处理,质量工单
RL0010021836,机器刚修完又坏,逆止阀 PVLW0404,检测,非质量工单
RL0010015242,显示E8,反渗透膜滤芯成品-SP TW30-3013-400,开鉴定单换机,质量工单
RL0009960746,显示888.88一直闪,PE管,解锁,非质量工单
RL0009957309,商用机漏水,快插直接 PI0406,重新紧固快插接头,非质量工单
RL0009927574,噪音大/出水小,压力桶 J2505-ROB8,压力桶加压打气,非质量工单
RL0009897283,不出热水,PE管,工厂派单激活设备,非质量工单
RL0009854446,4变3PE接头漏水,PE管,更换4变3PE接头,非质量工单
RL0009912930,不通电,电源适配器 24V 4A,关闭节能开关后正常,非质量工单
RL0009912628,不通电,高压开关 YK-25,告知客户自行处理供电线路,非质量工单
RL0010824326,显示E8废水不出,电磁阀 AHR27-4030K2,更换废水电磁阀,质量工单
RL0011501418,不出水,垫圈 φ5*φ12,水路不通已处理,非质量工单
RL0011903018,排空机器,密封硅胶 J2641-US2000,擦拭干净排空,非质量工单
RL0012190781,故障代码E8废水不出,电磁阀 废水比电磁阀,更换电磁阀,质量工单
RL0012475632,故障代码E8废水排放慢,电磁阀 AHR27-4030K2,更换废水电磁阀,质量工单
