工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0017768597,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,换盖,更换,非质量工单
WO0017771301,nan,"顶盖 J2641-US2000,Φ250.3*31.7mm,丝印，HGX(极地白)",中央系列,外观结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,升级顶盖,更换顶盖,非质量工单
WO0017771572,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,产品升级,nan,非质量工单
WO0017771832,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,nan,非质量工单
WO0017772126,nan,"按键机构配件-SP J2641-US2000,包含有按钮、阀芯、弹簧、密封圈、封口袋等.(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,换顶盖,顶盖升级,非质量工单
WO0017772400,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,漏水,换盖子,nan
WO0017772405,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖,nan
WO0017772806,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,漏水,换盖子,nan
WO0017773185,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,nan,非质量工单
WO0017773207,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换滤桶盖,nan,非质量工单
WO0017773240,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,免费换顶盖,nan,非质量工单
WO0017780507,nan,"反渗透膜滤芯成品-SP J3309-ROC120H,Ф122*314mm,含瑞德(全效)800G反渗透膜滤芯,滤桶等批件型号:LX-914RO120,售后专用(白底+金字)",净饮机,滤芯类,nan,反渗透膜滤芯成品,13698215760经销商代报维修 tds值高,Tds值高,免费更换,nan
WO0017786972,nan,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,nan,nan,龙头不显示TDS值 重启也不行,龙头TDS不显衣,更换TDS传感器,nan
WO0017798414,nan,"石英管总成（含水箱）Y3315BK-G,2100W，220V含速加热电热管,温控器等(/)",饮水机,电气类,nan,石英管总成（含水箱）,13320861986服务商代报漏水，跳闸,跳闸 漏水,换石英管加热体总成,nan
WO0017803911,nan,"微电脑显示板 Y3511BK-G,140*122*1.6mm(/)",饮水机,电气类,nan,nan,不出水，面板显示50度，要求上门前联系报价,控制面板坏了,跟换一个,nan
WO0017804003,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖总成,nan
WO0017809831,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,免费升级更换顶盖,nan,非质量工单
WO0017809884,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,免费升级更换顶盖,nan,非质量工单
WO0017812311,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,nan,非质量工单
