编号(维修行),是否为非产品质量问题
RL0011191618,否
RL0011190529,否
RL0011176977,否
RL0011175443,否
RL0011140773,是
RL0011086452,是
RL0011006310,否
RL0010157932,否
RL0009707878,否
RL0011113362,否
RL0010929842,否
RL0010790732,否
RL0010772257,否
RL0010485590,否
RL0010283290,否
RL0010048060,否
RL0010964770,是
RL0010962539,否
RL0010948299,是
RL0010936533,是
RL0010892920,否
RL0010875324,否
RL0010794242,是
RL0010768506,否
RL0010717012,否
RL0010693489,是
RL0010680057,否
RL0010680056,否
RL0010675011,否
RL0010658718,否
RL0010627478,否
RL0010622443,否
RL0010621538,否
RL0010569993,否
RL0010566851,否
RL0010559328,是
RL0010509565,否
RL0010508627,是
RL0010501661,否
RL0010436301,否
RL0010430240,否
RL0010405413,否
RL0010396051,是
RL0010393863,否
RL0010392313,否
RL0010376763,是
RL0010373234,否
RL0010360506,否
RL0010313758,否
RL0010292832,否
RL0010258346,是
RL0010222342,否
RL0010219259,否
RL0010197639,是
RL0010179603,否
RL0010179253,否
RL0010164576,否
RL0010163019,是
RL0010162318,否
RL0010157522,是
RL0010116155,否
RL0010101903,是
RL0010071122,否
RL0010059615,是
RL0010056943,否
RL0010055697,否
RL0010039401,否
RL0010023103,是
RL0010019234,否
RL0010012017,否
RL0009942648,是
RL0009934012,否
RL0009928523,否
RL0009920164,否
RL0009905104,否
RL0009873672,否
RL0009840895,是
RL0009825441,否
RL0009819177,是
RL0009753526,否
RL0009749883,否
RL0009747931,否
RL0009738848,是
RL0009732992,否
RL0009694698,否
RL0009694617,是
RL0009691081,否
RL0009690003,否
RL0009676460,否
RL0009674474,是
RL0009671940,是
RL0009661722,否
RL0009651489,否
RL0009630809,是
RL0009627741,否
RL0009627627,否
RL0009622771,否
RL0009661755,否
RL0011513132,是
RL0011476781,否
