工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017604836,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-11-13 10:21:15,2025-01-08 13:09:00,2025-01-08 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,"出水嘴 Y3611BK-G,安吉尔壁挂机/PP HJ730 /87*55*89mm//乳白色(白色)",饮水机,水路结构类,,上门维修,,,故障类型：漏水故障,机子底部漏水。,软管脱落已重新安装。
WO0017814089,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-09-03 16:22:55,2025-01-21 10:33:46,2025-01-21 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,等径直管 HYL-2801;外径Ф6.35*T1.2mm，50m/卷，售后专用(透明),净饮机,水路结构类,,上门维修,,,07593362827服务商代报没有热水,不出热水,E3故障，水箱不加热！出现保护拔掉电源重启，指导使用
WO0017845988,非质量工单,Rule 3: 最终安全网,保内,2025-06-05 16:51:50,2025-06-19 20:12:25,2025-06-19 00:00:00,"净水设备 反渗透厨下式净水机,J3745-ROC90,352*125*328mm(透明黑+冰川灰)",消费者事业部,"控制板总成 J3745-R0C90,98*66*33.5mm，电控板刷防水UV胶，带IOT(/)",净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,18299269818 经销商代报维修,上门检查是净水机的电路板坏了,客户不愿意维修，要开鉴定单
WO0017751284,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-12-07 14:35:07,2025-05-12 18:48:45,2025-05-12 00:00:00,"过滤器 前置过滤器,J3534-GWG-5000(玛瑙灰+咖啡金)",消费者事业部,"滤网总成 J3532-GWG-6000,含滤芯架、滤网、刮条、包装胶袋等，售后专用(/)",净水机,水路结构类,,上门维修,,,17562910667经销商代报  维修，水压小，保内,家里水压小,上门清洗前置滤网后用户家水压已正常，用户家是市政自来水，最近也没停水。
WO0017665348,非质量工单,Rule B.1: 外部加装,保内,2025-02-24 08:32:38,2025-03-16 13:49:01,2025-03-16 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,,净水机,安全维护,加装压力桶,上门维修,,,使用管线机时净水器总会响一下停一下，保内,使用管线机净水器频繁启动,加装0.5压力桶一个，机器正常
WO0017791752,非质量工单,Rule 3: 最终安全网,保内,2025-05-07 19:24:15,2025-06-20 12:40:17,2025-06-20 00:00:00,"净水设备 反渗透厨下式净水机,J3673-ROC120 b，玉龙SE，446*146*388mm(安吉尔白+秋驼色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,核实质量问题开鉴定单,机器按完后tds值高,顾客要求退换机
WO0017724697,非质量工单,Rule 3: 最终安全网,保内,2025-01-19 10:01:49,2025-02-09 11:30:46,2025-02-09 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"电源适配器 GM43-240160-D,输入200-240V, 50Hz - 60Hz，1.5A； 输出 DC24V, 1.6A(/)",净水机,电气类,,上门维修,,,来电号码:15555185732;故障信息:机器故障具体故障问题请师傅先联系确认,电源适配器损坏,更换电源适配器
WO0017751128,非质量工单,Rule 3: 最终安全网,保内,2025-04-23 14:19:49,2025-06-14 17:34:00,2025-06-14 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,13719636250服务商代报  出水小,龙头显示EF出水小,更换新机
WO0017278830,质量工单,Rule A.3: 核心部件更换,保内,2024-09-29 13:21:49,,2024-11-21 00:00:00,"饮水机 台式制热单温机,Y3692TK-K-S(鹅黄色)",电商事业部,"流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)",饮水机,电气类,,上门维修,"流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)","流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)","客户留言:点击取水后，出一点冷水出水量三个灯就开始闪烁发出滴滴的声音并停止出水
故障类型：出水故障,制水故障",不出水,换件
WO0017748094,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-18 19:29:46,2025-04-07 10:14:10,2025-04-07 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,故障类型：漏水故障,出水管接头漏水,重新剪断，安装故障已修复
