工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017851272,非质量工单,"Rule B3: 处理方案明确指向用户原因，关键词：""插头没插好""",保内,2025-04-29 09:41:22,2025-06-11 10:33:10,2025-06-11 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"电源适配器 J3540-ROC120H,型号：YW-2400500；输入：200-240V~50/60Hz 2.5A 输出:24V 5.0A。(/)",净饮机,电气类,,上门维修,,,不出水,不出水,插头没插好
WO0017900608,非质量工单,字段权重分析：处理方案明确指向水流小（环境水压）导致，非产品缺陷,保内,2025-05-12 15:58:14,2025-06-16 17:16:03,2025-06-16 00:00:00,"过滤器 前置过滤器,J3632-GWG-7000(冰川灰)",消费者事业部,"滤网总成 J3533-GWG-5000, φ47.6*92.5mm，含转轴、分水板、骨架、上盖、下盖、涡轮、滤网、网刮、密封圈(/)",净水机,水路结构类,,上门维修,,,滤网不转动，保内,客户反应滤网不转,上门检测，机器水流小带不动滤网。已跟客户解释，水流大时候滤网正常转动
WO0017733498,质量工单,Rule A3: 核心部件库外，但故障为按钮漏水，需更换部件，非用户/环境原因,保内,2024-11-04 14:20:02,,2025-06-17 00:00:00,"净水设备 反渗透商务净水机,J3430-ROC105 混水，混水定制款(白色)",商用事业部,"快插直接 J3402-ROB120H,PIC0406(1/4*3/8)(白色)",净水机,水路结构类,,上门维修,,,"西安市未央区?净水器漏水，，看一下哪里漏水
西安市未央区?净水器漏水，，看一下哪里漏水",,按钮漏水
WO0017736937,非质量工单,Rule B3: 处理方案明确指向用户操作（超时保护），非产品缺陷,保内,2025-01-10 16:14:22,2025-06-04 12:40:16,2025-06-04 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"增压泵 LFP1300J,DC24V,工作电流≤2.3A,工作流量≥2700ml/min(进水压力为30psi,出水压力为70psi),线长315mm(/)",净水机,电气类,,上门维修,,,机器不出水，家里只有老人家，老人家不会操作重启，麻烦师傅上门帮助，联系13630236033,不出水,超时保护
WO0017714138,非质量工单,Rule B3: 处理方案明确指向用户误操作（压力桶开关被关），非产品缺陷,保内,2025-01-14 11:56:14,2025-03-26 14:37:18,2025-03-26 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,快插压力桶球阀-HB PVN0604 3/8*1/4m(白蓝色),净水机,水路结构类,,上门维修,,,经销商代报维修， 机器不出水 麻烦上门查看,压力桶开关被用户家里老人关了，没有故障，一切正常,处理
WO0017640436,非质量工单,Rule B3: 处理方案为检测水质正常，无产品缺陷,保内,2025-04-05 13:34:32,2025-05-31 13:58:59,2025-05-31 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"滤桶盖总成 J2756-ROB8,A1;Ф97.5*74.2mm(白色)（ro膜）",净水机,水路结构类,,上门维修,,,21016875服务商代报维修，测水质。,检查检测水质,检查检测水质正常
WO0017734264,非质量工单,Rule B3: 处理方案明确指向用户操作（开关未打开），非产品缺陷,保内,2024-08-12 10:01:29,,2025-06-16 00:00:00,"饮水机 冷热饮水机（茶吧机）,CB3688LKD-J,420mm(长)*430mm(宽)*1380mm(高)(深空灰+安吉尔蓝)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,饮水机,水路结构类,,上门维修,,,19316724628服务商代报维修不通电,上门检查机子不通电,机子后面开关味打开
WO0017714242,质量工单,Rule A3: 核心部件库外，但漏水需更换转接头，非用户/环境原因,保内,2025-02-08 13:34:08,2025-04-19 10:36:44,2025-04-19 00:00:00,"过滤器 前置过滤器,J3624-GWG-7000(地产/O2O渠道)(玛瑙灰)",消费者事业部,"转接头 J3523-GWG-6000, φ39.6*28mm，DN25(白色)",净水机,水路结构类,,上门维修,,,18733690605用户来电报维修，漏水，保内,漏水,排水接口处滴水，已处理
WO0017667746,质量工单,Rule A3: 核心部件库外，但龙头松动需更换垫片，非用户/环境原因,保内,2025-01-20 10:45:51,2025-02-26 10:29:22,2025-02-26 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)",净水机,水路结构类,,上门维修,,,18027029126服务商代报维修龙头松动,龙头松动,原先垫片偏小，换个大垫片然后紧固龙头，问题解决
WO0017926070,非质量工单,Rule B3: 处理方案为清洗滤网，非产品缺陷,保内,2025-03-14 09:30:35,2025-06-26 11:29:42,2025-06-26 00:00:00,"过滤器 前置过滤器,J3632-GWG-7000(冰川灰)",消费者事业部,"滤网总成 J3533-GWG-5000, φ47.6*92.5mm，含转轴、分水板、骨架、上盖、下盖、涡轮、滤网、网刮、密封圈(/)",净水机,水路结构类,,上门维修,,,15602186761经销商代报不过滤，保内。,滤网黄色,清洗滤网
